#start	end	weight
285	2322	1
285	2321	1
285	5159	1
285	3643	1
285	1969	1
285	1956	1
7249	6009	-1
11035	1536	1
11035	2746	1
11035	6609	1
11035	2752	1
11035	5599	1
11035	5601	1
11035	5602	1
11035	10059	1
11035	815	1
11035	5834	1
11035	197259	1
11035	816	1
11035	817	1
11035	5836	1
11035	818	1
11035	2747	1
11035	5837	1
7263	27304	1
403253	2788	1
403253	2774	1
403253	2782	1
403253	51764	1
403257	2788	1
403257	2774	1
403257	2782	1
403257	51764	1
59067	9466	1
59067	4352	1
59067	149233	1
59067	3563	1
59067	3561	1
59067	9180	1
59067	3560	1
59067	2690	1
59067	3460	1
59067	3581	1
59067	5618	1
59067	3716	1
59067	3559	1
59067	3459	1
59067	3718	1
59067	116379	1
59067	3455	1
59067	3598	1
59067	3454	1
59067	3575	1
59067	3597	1
59067	5159	1
59067	3953	1
59067	50615	1
59067	1439	1
59067	1956	1
59067	3977	1
59067	1438	1
59067	163702	1
59067	5156	1
59067	3595	1
59067	3572	1
59067	3594	1
59067	1271	1
59067	3570	1
59067	64109	1
59067	3590	1
59067	3568	1
59067	3601	1
59067	3566	1
59067	3588	1
59067	3587	1
59067	58985	1
59067	1441	1
59067	2057	1
59067	53833	1
59067	53832	1
8590	2788	1
8590	2774	1
8590	2782	1
8590	51764	1
11009	9466	1
11009	4352	1
11009	149233	1
11009	3563	1
11009	3561	1
11009	9180	1
11009	3560	1
11009	2690	1
11009	3460	1
11009	3581	1
11009	5618	1
11009	3559	1
11009	3459	1
11009	116379	1
11009	3455	1
11009	3598	1
11009	3454	1
11009	3575	1
11009	3597	1
11009	5159	1
11009	3953	1
11009	1439	1
11009	1956	1
11009	3977	1
11009	50615	1
11009	1438	1
11009	163702	1
11009	5156	1
11009	3595	1
11009	3572	1
11009	3594	1
11009	1271	1
11009	3570	1
11009	64109	1
11009	3590	1
11009	3568	1
11009	3601	1
11009	3566	1
11009	3588	1
11009	3587	1
11009	58985	1
11009	1441	1
11009	2057	1
11009	53833	1
11009	53832	1
7277	998	1
403244	2788	1
403244	2774	1
403244	2782	1
403244	51764	1
7278	998	1
26986	9337	1
26986	29883	1
26986	255967	1
7270	7038	1
100132074	114907	1
100132074	8698	1
100132074	1263	1
100132074	9140	1
100132074	472	1
100132074	891	1
100132074	595	1
100132074	10733	1
100132074	10018	1
100132074	10912	1
100132074	85417	1
100132074	894	1
100132074	356	1
100132074	3575	1
100132074	5896	1
100132074	5897	1
100132074	5934	1
100132074	11345	1
100132074	6648	1
100132074	9133	1
100132074	8743	1
100132074	92579	1
100132074	1032	1
100132074	1030	1
100132074	23710	1
100132074	26260	1
100132074	10769	1
100132074	1027	1
100132074	1026	1
100132074	664	1
100132074	5347	1
100132074	5105	1
100132074	57818	1
100132074	901	1
100132074	604	1
100132074	5106	1
100132074	10365	1
100132074	847	1
100132074	11337	1
100132074	1901	1
100132074	1647	1
100132074	4616	1
100132074	2538	1
7272	8379	1
403239	2788	1
403239	2774	1
403239	2782	1
403239	51764	1
79490	2788	1
79490	2774	1
79490	2782	1
79490	51764	1
7297	5295	1
7297	5296	1
7297	5781	1
7297	6773	1
7297	6772	1
7297	6775	1
7297	6774	1
7297	5290	1
7297	5291	1
7297	5293	1
7297	6777	1
7297	6776	1
7297	8503	1
7297	6778	1
7292	7293	1
79482	2788	1
